TaskID, TaskType, Elapsed, Deserialize, DeserializeCPU, Serialize
    11, ShuffleMapTask, 9149.00, 6245.00, 57408904.00, 2.00
    51, ShuffleMapTask, 9112.00, 6241.00, 677247787.00, 0.00
    41, ShuffleMapTask, 9120.00, 6242.00, 52190286.00, 0.00
    61, ShuffleMapTask, 9105.00, 6240.00, 62498335.00, 7.00
     1, ShuffleMapTask, 9166.00, 6251.00, 1354042213.00, 2.00
    21, ShuffleMapTask, 9139.00, 6242.00, 57538033.00, 0.00
    31, ShuffleMapTask, 9131.00, 6242.00, 56689519.00, 1.00
    71, ShuffleMapTask, 9098.00, 6238.00, 60858909.00, 0.00
    81, ShuffleMapTask, 410.00, 4.00, 3502155.00, 0.00
    80, ShuffleMapTask, 454.00, 4.00, 4278666.00, 1.00
    83, ShuffleMapTask, 445.00, 4.00, 3614887.00, 0.00
    84, ShuffleMapTask, 475.00, 3.00, 2779832.00, 0.00
    86, ShuffleMapTask, 503.00, 3.00, 3086136.00, 0.00
    82, ShuffleMapTask, 575.00, 3.00, 2908650.00, 1.00
    87, ShuffleMapTask, 584.00, 6.00, 6223984.00, 0.00
    85, ShuffleMapTask, 588.00, 4.00, 3850341.00, 0.00
    89, ShuffleMapTask, 586.00, 17.00, 6391526.00, 0.00
    90, ShuffleMapTask, 620.00, 5.00, 4266267.00, 0.00
    93, ShuffleMapTask, 497.00, 6.00, 3699173.00, 0.00
    88, ShuffleMapTask, 677.00, 4.00, 3668423.00, 0.00
    91, ShuffleMapTask, 602.00, 8.00, 3863305.00, 0.00
    92, ShuffleMapTask, 593.00, 6.00, 3526190.00, 0.00
    62, ShuffleMapTask, 10146.00, 7603.00, 68953525.00, 0.00
     2, ShuffleMapTask, 10210.00, 7606.00, 60639453.00, 0.00
    72, ShuffleMapTask, 10146.00, 7601.00, 662861761.00, 0.00
    52, ShuffleMapTask, 10162.00, 7604.00, 49224527.00, 0.00
    32, ShuffleMapTask, 10180.00, 7606.00, 1369550846.00, 1.00
    22, ShuffleMapTask, 10191.00, 7606.00, 57609616.00, 2.00
    12, ShuffleMapTask, 10207.00, 7605.00, 48165662.00, 2.00
    42, ShuffleMapTask, 10176.00, 7605.00, 48273159.00, 0.00
    95, ShuffleMapTask, 550.00, 11.00, 4306812.00, 0.00
    94, ShuffleMapTask, 553.00, 26.00, 9666866.00, 0.00
    99, ShuffleMapTask, 245.00, 3.00, 2657179.00, 0.00
    98, ShuffleMapTask, 278.00, 3.00, 2388489.00, 1.00
   108, ShuffleMapTask, 270.00, 3.00, 2690582.00, 0.00
   105, ShuffleMapTask, 316.00, 5.00, 2849452.00, 0.00
   107, ShuffleMapTask, 319.00, 8.00, 4914343.00, 0.00
    97, ShuffleMapTask, 368.00, 2.00, 2644404.00, 0.00
    96, ShuffleMapTask, 420.00, 3.00, 2937243.00, 1.00
   111, ShuffleMapTask, 321.00, 2.00, 2662756.00, 0.00
   106, ShuffleMapTask, 376.00, 3.00, 2693071.00, 0.00
   103, ShuffleMapTask, 443.00, 3.00, 3187087.00, 0.00
   100, ShuffleMapTask, 472.00, 4.00, 3110228.00, 1.00
   101, ShuffleMapTask, 462.00, 3.00, 2940617.00, 0.00
