TaskID, TaskType, Elapsed, Deserialize, DeserializeCPU, Serialize
    14, ShuffleMapTask, 13335.00, 7319.00, 53129254.00, 0.00
     8, ShuffleMapTask, 13348.00, 7321.00, 50252464.00, 1.00
    11, ShuffleMapTask, 13533.00, 7319.00, 1992272002.00, 0.00
    15, ShuffleMapTask, 14343.00, 7313.00, 42016947.00, 0.00
     9, ShuffleMapTask, 14847.00, 7320.00, 67770892.00, 1.00
    10, ShuffleMapTask, 15077.00, 7320.00, 74365814.00, 0.00
    13, ShuffleMapTask, 15115.00, 7320.00, 67836948.00, 0.00
    20, ShuffleMapTask, 15300.00, 8520.00, 1521300240.00, 1.00
     5, ShuffleMapTask, 15726.00, 9330.00, 50744975.00, 0.00
    50, ShuffleMapTask, 15656.00, 10043.00, 1533308222.00, 1.00
     2, ShuffleMapTask, 15779.00, 9333.00, 55789746.00, 0.00
    23, ShuffleMapTask, 15740.00, 8515.00, 53346066.00, 0.00
    38, ShuffleMapTask, 15985.00, 10123.00, 63764601.00, 1.00
    32, ShuffleMapTask, 16002.00, 10126.00, 61965051.00, 1.00
    77, ShuffleMapTask, 16165.00, 10109.00, 56533381.00, 0.00
    74, ShuffleMapTask, 16283.00, 10112.00, 54104310.00, 0.00
     4, ShuffleMapTask, 16500.00, 9330.00, 645047916.00, 0.00
    26, ShuffleMapTask, 16546.00, 10528.00, 58839260.00, 1.00
    29, ShuffleMapTask, 16551.00, 10525.00, 49308659.00, 0.00
    68, ShuffleMapTask, 16415.00, 10400.00, 77235259.00, 0.00
    47, ShuffleMapTask, 16550.00, 9570.00, 45799401.00, 0.00
    17, ShuffleMapTask, 16608.00, 8520.00, 624894577.00, 0.00
     0, ShuffleMapTask, 16926.00, 9333.00, 72123860.00, 0.00
     3, ShuffleMapTask, 16984.00, 9331.00, 47372200.00, 0.00
    67, ShuffleMapTask, 16864.00, 10400.00, 626712731.00, 0.00
    43, ShuffleMapTask, 17007.00, 9575.00, 65991597.00, 0.00
     1, ShuffleMapTask, 17129.00, 9333.00, 62284749.00, 0.00
    19, ShuffleMapTask, 17125.00, 8519.00, 60284450.00, 0.00
     6, ShuffleMapTask, 17165.00, 9329.00, 69465833.00, 0.00
    12, ShuffleMapTask, 17206.00, 7319.00, 58100457.00, 0.00
    33, ShuffleMapTask, 17207.00, 10126.00, 64132624.00, 0.00
    83, ShuffleMapTask, 2946.00, 10.00, 4738062.00, 0.00
    16, ShuffleMapTask, 17337.00, 8519.00, 64355554.00, 0.00
    69, ShuffleMapTask, 17276.00, 10399.00, 63577464.00, 0.00
    36, ShuffleMapTask, 17425.00, 10126.00, 1490874128.00, 0.00
    64, ShuffleMapTask, 17533.00, 10402.00, 51796553.00, 0.00
    37, ShuffleMapTask, 17623.00, 10123.00, 662489050.00, 0.00
    35, ShuffleMapTask, 17807.00, 10126.00, 48348718.00, 0.00
    18, ShuffleMapTask, 17863.00, 8520.00, 47845016.00, 0.00
